Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-10-08 15:57:35,"Pull 1",1h 11m,"Deadlift (Barbell)",1,50.0,8,0,0,"","",0
2023-10-08 15:57:35,"Pull 1",1h 11m,"Deadlift (Barbell)",2,60.0,10,0,0,,,0
2023-10-08 15:57:35,"Pull 1",1h 11m,"Deadlift (Barbell)",3,70.0,6,0,0,,,0
2023-10-08 15:57:35,"Pull 1",1h 11m,"Deadlift (Barbell)",4,70.0,6,0,0,,,0
2023-10-08 15:57:35,"Pull 1",1h 11m,"Deadlift (Barbell)",5,90.0,5,0,0,,,0
2023-10-08 15:57:35,"Pull 1",1h 11m,"Seated Row (Machine)",1,36.0,9,0,0,"",,0
2023-10-08 15:57:35,"Pull 1",1h 11m,"Seated Row (Machine)",2,41.0,9,0,0,,,0
2023-10-08 15:57:35,"Pull 1",1h 11m,"Seated Row (Machine)",3,36.0,9,0,0,,,0
2023-10-08 15:57:35,"Pull 1",1h 11m,"Pullover (Dumbbell)",1,20.0,11,0,0,"",,0
2023-10-08 15:57:35,"Pull 1",1h 11m,"Pullover (Dumbbell)",2,22.0,9,0,0,,,0
2023-10-08 15:57:35,"Pull 1",1h 11m,"Pullover (Dumbbell)",3,22.0,10,0,0,,,0
2023-10-08 15:57:35,"Pull 1",1h 11m,"Upright Row (Dumbbell)",1,20.0,10,0,0,"",,0
2023-10-08 15:57:35,"Pull 1",1h 11m,"Upright Row (Dumbbell)",2,20.0,10,0,0,,,0
2023-10-08 15:57:35,"Pull 1",1h 11m,"Upright Row (Dumbbell)",3,20.0,10,0,0,,,0
2023-10-08 15:57:35,"Pull 1",1h 11m,"Triceps Extension (Cable)",1,10.2,10,0,0,"",,0
2023-10-08 15:57:35,"Pull 1",1h 11m,"Triceps Extension (Cable)",2,10.2,12,0,0,,,0
2023-10-08 15:57:35,"Pull 1",1h 11m,"Triceps Extension (Cable)",3,12.5,9,0,0,,,0
2023-10-08 15:57:35,"Pull 1",1h 11m,"Chin Up",1,0,10,0,0,"",,0
2023-10-08 15:57:35,"Pull 1",1h 11m,"Chin Up",2,0,10,0,0,,,0
2023-10-08 15:57:35,"Pull 1",1h 11m,"Chin Up",3,0,10,0,0,,,0
2023-10-09 17:32:21,"Legs 1",45m,"Squat (Barbell)",1,40.0,8,0,0,"","",0
2023-10-09 17:32:21,"Legs 1",45m,"Squat (Barbell)",2,50.0,6,0,0,,,0
2023-10-09 17:32:21,"Legs 1",45m,"Squat (Barbell)",3,50.0,5,0,0,,,0
2023-10-09 17:32:21,"Legs 1",45m,"Squat (Barbell)",4,50.0,5,0,0,,,0
2023-10-09 17:32:21,"Legs 1",45m,"Hip Thrust (Barbell)",1,30.0,10,0,0,"",,0
2023-10-09 17:32:21,"Legs 1",45m,"Hip Thrust (Barbell)",2,40.0,9,0,0,,,0
2023-10-09 17:32:21,"Legs 1",45m,"Hip Thrust (Barbell)",3,40.0,8,0,0,,,0
2023-10-09 17:32:21,"Legs 1",45m,"Lunge (Dumbbell)",1,18.0,7,0,0,"Reverse ",,0
2023-10-09 17:32:21,"Legs 1",45m,"Lunge (Dumbbell)",2,14.0,10,0,0,,,0
2023-10-09 17:32:21,"Legs 1",45m,"Lunge (Dumbbell)",3,12.0,10,0,0,,,0
2023-10-09 17:32:21,"Legs 1",45m,"Leg Extension (Machine)",1,52.0,10,0,0,"",,0
2023-10-09 17:32:21,"Legs 1",45m,"Leg Extension (Machine)",2,59.0,10,0,0,,,0
2023-10-09 17:32:21,"Legs 1",45m,"Leg Extension (Machine)",3,59.0,9,0,0,,,0
2023-10-09 17:32:21,"Legs 1",45m,"Standing Calf Raise (Machine)",1,40.0,15,0,0,"",,0
2023-10-09 17:32:21,"Legs 1",45m,"Standing Calf Raise (Machine)",2,35.0,17,0,0,,,0
2023-10-09 17:32:21,"Legs 1",45m,"Standing Calf Raise (Machine)",3,35.0,15,0,0,,,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Overhead Press (Barbell)",1,25.0,9,0,0,"","",0
2023-10-11 20:49:23,"Push 2",1h 11m,"Overhead Press (Barbell)",2,30.0,6,0,0,,,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Overhead Press (Barbell)",3,30.0,6,0,0,,,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Overhead Press (Barbell)",4,35.0,4,0,0,,,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Bench Press (Dumbbell)",1,36.0,10,0,0,"",,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Bench Press (Dumbbell)",2,40.0,10,0,0,,,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Bench Press (Dumbbell)",3,44.0,6,0,0,,,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Bent Over One Arm Row (Dumbbell)",1,40.0,15,0,0,"Evezés rud",,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Bent Over One Arm Row (Dumbbell)",2,60.0,8,0,0,,,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Bent Over One Arm Row (Dumbbell)",3,50.0,9,0,0,,,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Chest Fly (Dumbbell)",1,20.0,10,0,0,"",,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Chest Fly (Dumbbell)",2,20.0,9,0,0,,,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Chest Fly (Dumbbell)",3,0.0,0,0,0,,,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Bench Press - Close Grip (Barbell)",1,50.0,5,0,0,"",,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Bench Press - Close Grip (Barbell)",2,50.0,6,0,0,,,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Bench Press - Close Grip (Barbell)",3,50.0,5,0,0,,,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Bicep Curl (Dumbbell)",1,24.0,10,0,0,"",,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Bicep Curl (Dumbbell)",2,22.0,10,0,0,,,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Bicep Curl (Dumbbell)",3,20.0,9,0,0,,,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Push Up",1,0.0,10,0,0,"",,0
2023-10-11 20:49:23,"Push 2",1h 11m,"Push Up",2,0.0,7,0,0,,,0
